Strain,BGCs,Count
s__Leaf324,modular.PKS,0
s__Leaf225,modular.PKS,1
s__Leaf233,modular.PKS,2
s__Leaf247,modular.PKS,1
s__Leaf258,modular.PKS,1
s__Leaf278,modular.PKS,1
s__Leaf354,modular.PKS,1
s__Leaf380,modular.PKS,0
s__Leaf58,modular.PKS,1
s__Leaf69,modular.PKS,0
s__Leaf72,modular.PKS,1
s__Leaf7,modular.PKS,1
s__Leaf82,modular.PKS,0
s__Leaf85,modular.PKS,2
s__Leaf86,modular.PKS,2
s__Leaf91,modular.PKS,2
s__Leaf93,modular.PKS,2
s__Leaf288,modular.PKS,0
s__Leaf307,modular.PKS,0
s__Leaf311,modular.PKS,0
s__Leaf337,modular.PKS,0
s__Leaf369,modular.PKS,0
s__Leaf371,modular.PKS,2
s__Leaf399,modular.PKS,1
s__Leaf404,modular.PKS,0
s__Leaf436,modular.PKS,0
s__Leaf465,modular.PKS,1
s__Leaf466,modular.PKS,1
s__Leaf469,modular.PKS,2
s__Leaf68,modular.PKS,0
s__Leaf83,modular.PKS,0
s__Leaf87,modular.PKS,2
s__Leaf88,modular.PKS,1
s__Leaf89,modular.PKS,1
s__Leaf94,modular.PKS,1
s__Leaf99,modular.PKS,1
s__Leaf111,modular.PKS,1
s__Leaf117,modular.PKS,1
s__Leaf139,modular.PKS,0
s__Leaf13,modular.PKS,0
s__Leaf145,modular.PKS,0
s__Leaf159,modular.PKS,0
s__Leaf161,modular.PKS,0
s__Leaf164,modular.PKS,0
s__Leaf171,modular.PKS,0
s__Leaf172,modular.PKS,0
s__Leaf183,modular.PKS,0
s__Leaf185,modular.PKS,0
s__Leaf186,modular.PKS,0
s__Leaf187,modular.PKS,0
s__Leaf189,modular.PKS,0
s__Leaf191,modular.PKS,0
s__Leaf196,modular.PKS,0
s__Leaf1,modular.PKS,0
s__Leaf8,modular.PKS,0
s__Leaf201,modular.PKS,0
s__Leaf210,modular.PKS,0
s__Leaf220,modular.PKS,0
s__Leaf222,modular.PKS,0
s__Leaf234,modular.PKS,0
s__Leaf245,modular.PKS,0
s__Leaf254,modular.PKS,0
s__Leaf262,modular.PKS,0
s__Leaf263,modular.PKS,0
s__Leaf264,modular.PKS,0
s__Leaf272,modular.PKS,0
s__Leaf285,modular.PKS,0
s__Leaf289,modular.PKS,0
s__Leaf291,modular.PKS,0
s__Leaf294,modular.PKS,0
s__Leaf296,modular.PKS,0
s__Leaf299,modular.PKS,0
s__Leaf304,modular.PKS,0
s__Leaf306,modular.PKS,1
s__Leaf314,modular.PKS,0
s__Leaf320,modular.PKS,0
s__Leaf321,modular.PKS,1
s__Leaf456,modular.PKS,1
s__Leaf2,modular.PKS,0
s__Leaf3,modular.PKS,0
s__Leaf26,modular.PKS,1
s__Leaf41,modular.PKS,0
s__Leaf194,modular.PKS,0
s__Leaf202,modular.PKS,0
s__Leaf203,modular.PKS,0
s__Leaf216,modular.PKS,0
s__Leaf244,modular.PKS,0
s__Leaf261,modular.PKS,0
s__Leaf265,modular.PKS,0
s__Leaf267,modular.PKS,0
s__Leaf274,modular.PKS,0
s__Leaf280,modular.PKS,0
s__Leaf283,modular.PKS,0
s__Leaf344,modular.PKS,1
s__Leaf406,modular.PKS,0
s__Leaf454,modular.PKS,0
s__Leaf325,modular.PKS,0
s__Leaf326,modular.PKS,0
s__Leaf335,modular.PKS,0
s__Leaf336,modular.PKS,0
s__Leaf341,modular.PKS,1
s__Leaf347,modular.PKS,0
s__Leaf351,modular.PKS,0
s__Leaf359,modular.PKS,0
s__Leaf383,modular.PKS,1
s__Leaf384,modular.PKS,1
s__Leaf386,modular.PKS,1
s__Leaf391,modular.PKS,1
s__Leaf394,modular.PKS,0
s__Leaf395,modular.PKS,0
s__Leaf400,modular.PKS,1
s__Leaf414,modular.PKS,0
s__Leaf415,modular.PKS,0
s__Leaf416,modular.PKS,0
s__Leaf420,modular.PKS,0
s__Leaf49,modular.PKS,0
s__Leaf44,modular.PKS,0
s__Leaf50,modular.PKS,0
s__Leaf98,modular.PKS,0
s__Leaf113,modular.PKS,1
s__Leaf121,modular.PKS,1
s__Leaf122,modular.PKS,1
s__Leaf123,modular.PKS,1
s__Leaf127,modular.PKS,0
s__Leaf137,modular.PKS,0
s__Leaf141,modular.PKS,0
s__Leaf160,modular.PKS,0
s__Leaf51,modular.PKS,0
s__Leaf53,modular.PKS,0
s__Leaf64,modular.PKS,0
s__Leaf70,modular.PKS,0
s__Leaf75,modular.PKS,0
s__Leaf76,modular.PKS,0
s__Leaf78,modular.PKS,0
s__Leaf84,modular.PKS,0
s__Leaf90,modular.PKS,1
s__Leaf92,modular.PKS,1
s__Leaf10,modular.PKS,0
s__Leaf11,modular.PKS,0
s__Leaf16,modular.PKS,0
s__Leaf17,modular.PKS,0
s__Leaf198,modular.PKS,0
s__Leaf208,modular.PKS,0
s__Leaf20,modular.PKS,0
s__Leaf226,modular.PKS,0
s__Leaf22,modular.PKS,0
s__Leaf230,modular.PKS,0
s__Leaf231,modular.PKS,0
s__Leaf23,modular.PKS,0
s__Leaf242,modular.PKS,0
s__Leaf24,modular.PKS,0
s__Leaf257,modular.PKS,0
s__Leaf25,modular.PKS,0
s__Leaf28,modular.PKS,0
s__Leaf29,modular.PKS,0
s__Leaf30,modular.PKS,0
s__Leaf32,modular.PKS,0
s__Leaf339,modular.PKS,0
s__Leaf33,modular.PKS,0
s__Leaf343,modular.PKS,0
s__Leaf34,modular.PKS,0
s__Leaf357,modular.PKS,0
s__Leaf38,modular.PKS,0
s__Leaf407,modular.PKS,0
s__Leaf412,modular.PKS,0
s__Leaf42,modular.PKS,0
s__Leaf5,modular.PKS,0
s__Leaf62,modular.PKS,0
s__Leaf67,modular.PKS,0
s__Leaf9,modular.PKS,0
s__Leaf119,modular.PKS,1
s__Leaf129,modular.PKS,0
s__Leaf182,modular.PKS,1
s__Leaf334,modular.PKS,0
s__Leaf361,modular.PKS,1
s__Leaf363,modular.PKS,0
s__Leaf396,modular.PKS,1
s__Leaf405,modular.PKS,0
s__Leaf427,modular.PKS,0
s__Leaf434,modular.PKS,0
s__Leaf443,modular.PKS,0
s__Leaf446,modular.PKS,0
s__Leaf453,modular.PKS,1
s__Leaf459,modular.PKS,0
s__Leaf460,modular.PKS,0
s__Leaf48,modular.PKS,0
s__Leaf100,modular.PKS,2
s__Leaf102,modular.PKS,2
s__Leaf104,modular.PKS,1
s__Leaf106,modular.PKS,2
s__Leaf108,modular.PKS,1
s__Leaf112,modular.PKS,2
s__Leaf125,modular.PKS,1
s__Leaf126,modular.PKS,0
s__Leaf130,modular.PKS,0
s__Leaf131,modular.PKS,0
s__Leaf148,modular.PKS,0
s__Leaf151,modular.PKS,0
s__Leaf154,modular.PKS,0
s__Leaf155,modular.PKS,0
s__Leaf15,modular.PKS,0
s__Leaf168,modular.PKS,0
s__Leaf176,modular.PKS,0
s__Leaf177,modular.PKS,0
s__Leaf179,modular.PKS,0
s__Leaf180,modular.PKS,0
s__Leaf61,modular.PKS,1
s__Leaf324,modular.PKS.NRPS.hybrid,0
s__Leaf225,modular.PKS.NRPS.hybrid,0
s__Leaf233,modular.PKS.NRPS.hybrid,0
s__Leaf247,modular.PKS.NRPS.hybrid,0
s__Leaf258,modular.PKS.NRPS.hybrid,0
s__Leaf278,modular.PKS.NRPS.hybrid,0
s__Leaf354,modular.PKS.NRPS.hybrid,0
s__Leaf380,modular.PKS.NRPS.hybrid,1
s__Leaf58,modular.PKS.NRPS.hybrid,0
s__Leaf69,modular.PKS.NRPS.hybrid,0
s__Leaf72,modular.PKS.NRPS.hybrid,1
s__Leaf7,modular.PKS.NRPS.hybrid,0
s__Leaf82,modular.PKS.NRPS.hybrid,1
s__Leaf85,modular.PKS.NRPS.hybrid,0
s__Leaf86,modular.PKS.NRPS.hybrid,0
s__Leaf91,modular.PKS.NRPS.hybrid,0
s__Leaf93,modular.PKS.NRPS.hybrid,0
s__Leaf288,modular.PKS.NRPS.hybrid,0
s__Leaf307,modular.PKS.NRPS.hybrid,0
s__Leaf311,modular.PKS.NRPS.hybrid,0
s__Leaf337,modular.PKS.NRPS.hybrid,0
s__Leaf369,modular.PKS.NRPS.hybrid,0
s__Leaf371,modular.PKS.NRPS.hybrid,0
s__Leaf399,modular.PKS.NRPS.hybrid,0
s__Leaf404,modular.PKS.NRPS.hybrid,0
s__Leaf436,modular.PKS.NRPS.hybrid,0
s__Leaf465,modular.PKS.NRPS.hybrid,0
s__Leaf466,modular.PKS.NRPS.hybrid,0
s__Leaf469,modular.PKS.NRPS.hybrid,0
s__Leaf68,modular.PKS.NRPS.hybrid,0
s__Leaf83,modular.PKS.NRPS.hybrid,0
s__Leaf87,modular.PKS.NRPS.hybrid,0
s__Leaf88,modular.PKS.NRPS.hybrid,0
