Inhibitor,Sensitive,Interaction
s__Leaf11,s__Leaf294,weak
s__Leaf11,s__Leaf326,strong
s__Leaf11,s__Leaf341,weak
s__Leaf11,s__Leaf344,weak
s__Leaf11,s__Leaf347,weak
s__Leaf11,s__Leaf351,weak
s__Leaf11,s__Leaf357,weak
s__Leaf11,s__Leaf394,strong
s__Leaf11,s__Leaf400,weak
s__Leaf11,s__Leaf401,strong
s__Leaf11,s__Leaf404,weak
s__Leaf11,s__Leaf407,strong
s__Leaf11,s__Leaf456,weak
s__Leaf121,s__Leaf326,weak
s__Leaf122,s__Leaf326,weak
s__Leaf125,s__Leaf326,weak
s__Leaf126,s__Leaf111,weak
s__Leaf126,s__Leaf113,weak
s__Leaf126,s__Leaf226,weak
s__Leaf126,s__Leaf325,weak
s__Leaf126,s__Leaf339,weak
s__Leaf126,s__Leaf341,weak
s__Leaf126,s__Leaf38,weak
s__Leaf126,s__Leaf394,strong
s__Leaf126,s__Leaf400,weak
s__Leaf126,s__Leaf41,strong
s__Leaf126,s__Leaf89,weak
s__Leaf126,s__Leaf92,weak
s__Leaf126,s__Leaf72,weak
s__Leaf127,s__Leaf111,weak
s__Leaf127,s__Leaf131,weak
s__Leaf127,s__Leaf226,weak
s__Leaf127,s__Leaf394,weak
s__Leaf127,s__Leaf408,weak
s__Leaf127,s__Leaf41,strong
s__Leaf127,s__Leaf84,weak
s__Leaf129,s__Leaf113,weak
s__Leaf13,s__Leaf369,weak
s__Leaf13,s__Leaf446,weak
s__Leaf130,s__Leaf1,strong
s__Leaf130,s__Leaf10,weak
s__Leaf130,s__Leaf111,weak
s__Leaf130,s__Leaf127,weak
s__Leaf130,s__Leaf16,weak
s__Leaf130,s__Leaf208,weak
s__Leaf130,s__Leaf226,weak
s__Leaf130,s__Leaf28,strong
s__Leaf130,s__Leaf325,weak
s__Leaf130,s__Leaf38,strong
s__Leaf130,s__Leaf394,strong
s__Leaf130,s__Leaf408,weak
s__Leaf130,s__Leaf41,strong
s__Leaf131,s__Leaf189,weak
s__Leaf131,s__Leaf234,weak
s__Leaf131,s__Leaf30,weak
s__Leaf131,s__Leaf34,weak
s__Leaf131,s__Leaf38,weak
s__Leaf131,s__Leaf72,weak
s__Leaf137,s__Leaf30,weak
s__Leaf137,s__Leaf347,weak
s__Leaf137,s__Leaf351,weak
s__Leaf139,s__Leaf113,weak
s__Leaf139,s__Leaf182,weak
s__Leaf141,s__Leaf30,weak
s__Leaf141,s__Leaf34,weak
s__Leaf141,s__Leaf38,weak
s__Leaf145,s__Leaf189,weak
s__Leaf145,s__Leaf28,weak
s__Leaf145,s__Leaf30,weak
s__Leaf145,s__Leaf38,weak
s__Leaf145,s__Leaf69,weak
s__Leaf148,s__Leaf131,weak
s__Leaf148,s__Leaf189,weak
s__Leaf148,s__Leaf72,weak
s__Leaf15,s__Leaf100,weak
s__Leaf15,s__Leaf102,weak
s__Leaf15,s__Leaf106,weak
s__Leaf15,s__Leaf111,weak
s__Leaf15,s__Leaf112,weak
s__Leaf15,s__Leaf117,weak
s__Leaf15,s__Leaf122,weak
s__Leaf15,s__Leaf123,weak; strong
s__Leaf15,s__Leaf125,weak
s__Leaf15,s__Leaf132,weak
s__Leaf15,s__Leaf148,weak
s__Leaf15,s__Leaf151,weak
s__Leaf15,s__Leaf176,weak
s__Leaf15,s__Leaf180,strong
s__Leaf15,s__Leaf198,strong
s__Leaf15,s__Leaf202,strong
s__Leaf15,s__Leaf205,strong
s__Leaf15,s__Leaf208,weak
s__Leaf15,s__Leaf267,weak
s__Leaf15,s__Leaf326,strong
s__Leaf15,s__Leaf339,weak
s__Leaf15,s__Leaf344,weak
s__Leaf15,s__Leaf347,weak
s__Leaf15,s__Leaf351,weak
s__Leaf15,s__Leaf357,weak
s__Leaf15,s__Leaf38,weak
s__Leaf15,s__Leaf394,strong
s__Leaf15,s__Leaf400,weak
s__Leaf15,s__Leaf401,strong
s__Leaf15,s__Leaf404,weak
s__Leaf15,s__Leaf407,strong
