Strain,Number,value
s__Leaf182,Inhibitor Strong,32
s__Leaf98,Inhibitor Strong,17
s__Leaf434,Inhibitor Strong,6
s__Leaf58,Inhibitor Strong,4
s__Leaf15,Inhibitor Strong,10
s__Leaf49,Inhibitor Strong,9
s__Leaf2,Inhibitor Strong,5
s__Leaf408,Inhibitor Strong,11
s__Leaf75,Inhibitor Strong,9
s__Leaf82,Inhibitor Strong,9
s__Leaf196,Inhibitor Strong,3
s__Leaf154,Inhibitor Strong,2
s__Leaf11,Inhibitor Strong,4
s__Leaf126,Inhibitor Strong,2
s__Leaf130,Inhibitor Strong,5
s__Leaf187,Inhibitor Strong,0
s__Leaf30,Inhibitor Strong,5
s__Leaf304,Inhibitor Strong,0
s__Leaf59,Inhibitor Strong,0
s__Leaf177,Inhibitor Strong,1
s__Leaf127,Inhibitor Strong,1
s__Leaf61,Inhibitor Strong,1
s__Leaf202,Inhibitor Strong,1
s__Leaf131,Inhibitor Strong,0
s__Leaf272,Inhibitor Strong,0
s__Leaf145,Inhibitor Strong,0
s__Leaf245,Inhibitor Strong,3
s__Leaf359,Inhibitor Strong,2
s__Leaf394,Inhibitor Strong,0
s__Leaf404,Inhibitor Strong,0
s__Leaf285,Inhibitor Strong,0
s__Leaf148,Inhibitor Strong,0
s__Leaf141,Inhibitor Strong,0
s__Leaf137,Inhibitor Strong,0
s__Leaf167,Inhibitor Strong,0
s__Leaf194,Inhibitor Strong,0
s__Leaf201,Inhibitor Strong,0
s__Leaf465,Inhibitor Strong,1
s__Leaf78,Inhibitor Strong,0
s__Leaf83,Inhibitor Strong,0
s__Leaf16,Inhibitor Strong,0
s__Leaf291,Inhibitor Strong,0
s__Leaf32,Inhibitor Strong,0
s__Leaf69,Inhibitor Strong,0
s__Leaf289,Inhibitor Strong,0
s__Leaf13,Inhibitor Strong,0
s__Leaf139,Inhibitor Strong,0
s__Leaf176,Inhibitor Strong,0
s__Leaf203,Inhibitor Strong,0
s__Leaf254,Inhibitor Strong,0
s__Leaf313,Inhibitor Strong,0
s__Leaf405,Inhibitor Strong,0
s__Leaf53,Inhibitor Strong,0
s__Leaf68,Inhibitor Strong,0
s__Leaf70,Inhibitor Strong,0
s__Leaf407,Inhibitor Strong,0
