Isolation,Taxa,Level
s__Leaf13,Firmicutes,Phylum
s__Leaf137,Actinobacteria,Phylum
s__Leaf141,Actinobacteria,Phylum
s__Leaf145,Actinobacteria,Phylum
s__Leaf154,Actinobacteria,Phylum
s__Leaf161,Actinobacteria,Phylum
s__Leaf170,Bacteroidetes,Phylum
s__Leaf176,Bacteroidetes,Phylum
s__Leaf182,Firmicutes,Phylum
s__Leaf187,Firmicutes,Phylum
s__Leaf194,Bacteroidetes,Phylum
s__Leaf196,Firmicutes,Phylum
s__Leaf201,Bacteroidetes,Phylum
s__Leaf203,Actinobacteria,Phylum
s__Leaf245,Actinobacteria,Phylum
s__Leaf250,Bacteroidetes,Phylum
s__Leaf254,Actinobacteria,Phylum
s__Leaf264,Actinobacteria,Phylum
s__Leaf272,Actinobacteria,Phylum
s__Leaf285,Actinobacteria,Phylum
s__Leaf289,Actinobacteria,Phylum
s__Leaf291,Actinobacteria,Phylum
s__Leaf304,Actinobacteria,Phylum
s__Leaf313,Bacteroidetes,Phylum
s__Leaf337,Actinobacteria,Phylum
s__Leaf359,Bacteroidetes,Phylum
s__Leaf374,Actinobacteria,Phylum
s__Leaf394,Bacteroidetes,Phylum
s__Leaf395,Actinobacteria,Phylum
s__Leaf404,Bacteroidetes,Phylum
s__Leaf405,Bacteroidetes,Phylum
s__Leaf44,Actinobacteria,Phylum
s__Leaf49,Firmicutes,Phylum
s__Leaf69,Actinobacteria,Phylum
s__Leaf75,Firmicutes,Phylum
s__Leaf82,Bacteroidetes,Phylum
s__Leaf294,Actinobacteria,Phylum
s__Leaf326,Deinococcus-Thermus,Phylum
s__Leaf347,Actinobacteria,Phylum
s__Leaf351,Actinobacteria,Phylum
s__Leaf325,Actinobacteria,Phylum
s__Leaf41,Bacteroidetes,Phylum
s__Leaf72,Firmicutes,Phylum
s__Leaf369,Actinobacteria,Phylum
s__Leaf446,Actinobacteria,Phylum
s__Leaf1,Actinobacteria,Phylum
s__Leaf189,Bacteroidetes,Phylum
s__Leaf234,Actinobacteria,Phylum
s__Leaf132,Bacteroidetes,Phylum
s__Leaf151,Actinobacteria,Phylum
s__Leaf180,Bacteroidetes,Phylum
s__Leaf380,Actinobacteria,Phylum
s__Leaf8,Actinobacteria,Phylum
