ID,Abundance,Phyla
t2500069000,0.6575,Firmicutes
t2501416923,0.67,Bacteroidetes
t2501416924,0.565,Bacteroidetes
t2501416926,0.725,Proteobacteria
t2501533205,0.785,Synergistetes
t2501915963,0.805,Firmicutes
t2501939620,0.1675,Tenericutes
t2502422321,0.815,Bacteroidetes
t2502545039,0.835,Bacteroidetes
t2502790015,0.755,Synergistetes
t2503113005,0.795,Proteobacteria
t2503198000,0.88,Proteobacteria
t2503283010,0.075,Other
t2503386004,0.8225,Actinobacteria
t2503508007,0.74,Thermotogae
t2503508009,0.785,Firmicutes
t2503538010,0.64,Actinobacteria
t2503538017,0.815,Firmicutes
t2503538034,0.94,Proteobacteria
t2503692001,0.78,Proteobacteria
t2503707007,0.745,Bacteroidetes
t2503754046,0.715,Bacteroidetes
t2503904012,0.6625,Spirochaetes
t2503982034,0.6975,Proteobacteria
t2503982039,0.745,Bacteroidetes
t2503982046,0.6525,Firmicutes
t2504136000,0.7725,Proteobacteria
t2504136006,0.755,Proteobacteria
t2504136008,0.84,Other
t2504136012,0.85,Proteobacteria
t2504557006,0.835,Firmicutes
t2504557012,0.695,Spirochaetes
t2504643006,0.8175,Thermi
t2504643024,0.925,Proteobacteria
t2504756004,0.8325,Bacteroidetes
t2504756006,0.7375,Firmicutes
t2504756018,0.61,Bacteroidetes
t2504756052,0.7075,Spirochaetes
t2504756058,0.8175,Firmicutes
t2505119042,0.76,Other
t2505119043,0.7075,Synergistetes
t2505313033,0.9175,Proteobacteria
t2505313034,0.9225,Proteobacteria
t2505313035,0.92,Proteobacteria
t2505313036,0.92,Proteobacteria
t2505313037,0.92,Proteobacteria
t2505313038,0.9125,Proteobacteria
t2505313039,0.9175,Proteobacteria
t2505313066,0.915,Proteobacteria
t2505313067,0.91,Proteobacteria
t2505313068,0.9175,Proteobacteria
t2505313069,0.9225,Proteobacteria
t2505313070,0.925,Proteobacteria
t2505313071,0.9225,Proteobacteria
t2505313072,0.92,Proteobacteria
t2505679006,0.785,Spirochaetes
t2505679007,0.7825,Bacteroidetes
t2505679008,0.8325,Other
t2505679009,0.7875,Proteobacteria
t2505679016,0.81,Actinobacteria
t2505679018,0.885,Proteobacteria
t2505679024,0.8525,Cyanobacteria
t2505679030,0.83,Bacteroidetes
t2505679031,0.8025,Actinobacteria
t2505679034,0.92,Proteobacteria
t2505679045,0.8375,Proteobacteria
t2505679068,0.7925,Actinobacteria
t2505679076,0.7925,Actinobacteria
t2505679077,0.795,Thermi
t2505679078,0.825,Bacteroidetes
t2505679080,0.8475,Bacteroidetes
t2505679082,0.905,Proteobacteria
t2506210002,0.8625,Proteobacteria
t2506210003,0.865,Proteobacteria
t2506210005,0.835,Firmicutes
t2506381019,0.8075,Actinobacteria
t2506381020,0.805,Actinobacteria
t2506381022,0.7475,Spirochaetes
t2506381023,0.8175,Bacteroidetes
t2506381024,0.8375,Other
t2506485001,0.8125,Bacteroidetes
t2506520007,0.925,Proteobacteria
t2506520013,0.785,Spirochaetes
t2506520015,0.815,Firmicutes
t2506520016,0.85,Bacteroidetes
t2506520020,0.86,Bacteroidetes
t2506520035,0.9175,Proteobacteria
t2506520037,0.9175,Proteobacteria
t2506520038,0.9225,Proteobacteria
t2506520040,0.83,Chloroflexi
t2506520041,0.845,Proteobacteria
t2506520042,0.825,Bacteroidetes
t2506520043,0.88,Proteobacteria
t2506520045,0.7275,Fusobacteria
t2506520046,0.8175,Bacteroidetes
t2506520047,0.9525,Firmicutes
t2506520049,0.8825,Proteobacteria
t2506520050,0.7425,Bacteroidetes
t2506783006,0.79,Bacteroidetes
t2506783008,0.1425,Firmicutes
t2506783010,0.81,Spirochaetes
t2506783011,0.7825,Actinobacteria
t2506783014,0.815,Actinobacteria
t2506783038,0.3275,Firmicutes
t2506783044,0.8875,Proteobacteria
t2506783045,0.8325,Proteobacteria
t2506783046,0.92,Firmicutes
t2506783048,0.82,Actinobacteria
t2506783053,0.79,Bacteroidetes
t2506783059,0.8775,Proteobacteria
t2506783060,0.8125,Actinobacteria
t2506783061,0.8925,Firmicutes
t2506783062,0.8075,Firmicutes
t2506783063,0.8025,Proteobacteria
t2506783064,0.8,Proteobacteria
t2506783065,0.73,Thermotogae
t2507149014,0.7025,Thermotogae
t2507149015,0.895,Proteobacteria
t2507149019,0.8575,Firmicutes
t2507149024,0.8625,Firmicutes
t2507262005,0.6475,Proteobacteria
t2507262015,0.8825,Proteobacteria
t2507262026,0.86,Firmicutes
t2507262027,0.8375,Proteobacteria
t2507262030,0.82,Actinobacteria
t2507262031,0.8875,Firmicutes
t2507262035,0.875,Proteobacteria
t2507262036,0.855,Cyanobacteria
t2507262044,0.7225,Aquificae
t2507262045,0.36,Bacteroidetes
t2507262046,0.81,Actinobacteria
t2507262047,0.25,Bacteroidetes
t2507262051,0.8225,Firmicutes
t2507262052,0.7875,Cyanobacteria
t2507262054,0.855,Cyanobacteria
t2507262055,0.895,Proteobacteria
t2507525000,0.8175,Actinobacteria
t2507525018,0.905,Proteobacteria
t2508501001,0.905,Firmicutes
t2508501002,0.8475,Firmicutes
t2508501004,0.905,Firmicutes
t2508501009,0.8975,Proteobacteria
t2508501010,0.875,Proteobacteria
t2508501012,0.82,Actinobacteria
t2508501013,0.835,Actinobacteria
t2508501021,0.875,Proteobacteria
t2508501023,0.835,Proteobacteria
t2508501038,0.8375,Proteobacteria
t2508501039,0.82,Actinobacteria
t2508501040,0.9175,Proteobacteria
t2508501042,0.9,Proteobacteria
t2508501043,0.8475,Proteobacteria
t2508501044,0.825,Actinobacteria
t2508501045,0.8025,Thermi
t2508501046,0.8825,Proteobacteria
t2508501047,0.8525,Proteobacteria
t2508501048,0.8775,Proteobacteria
t2508501050,0.8975,Proteobacteria
t2508501051,0.875,Proteobacteria
