ID,Pos,Type
t2507262051,0.35,Mislabelled
t2509887034,0.35,Mislabelled
t2509276051,0.35,Mislabelled
t637000012,0.35,Mislabelled
t637000019,0.35,Mislabelled
t637000020,0.35,Mislabelled
t650716010,0.35,Mislabelled
t637000058,0.35,Mislabelled
t637000137,0.35,Mislabelled
t637000160,0.35,Mislabelled
t637000201,0.35,Mislabelled
t637000309,0.35,Mislabelled
t637000310,0.35,Mislabelled
t637000311,0.35,Mislabelled
t637000312,0.35,Mislabelled
t637000313,0.35,Mislabelled
t637000314,0.35,Mislabelled
t650716053,0.35,Mislabelled
t650716066,0.35,Mislabelled
t638341009,0.35,Mislabelled
t638341014,0.35,Mislabelled
t638341056,0.35,Mislabelled
t638341059,0.35,Mislabelled
t638341070,0.35,Mislabelled
t638341093,0.35,Mislabelled
t638341107,0.35,Mislabelled
t638341124,0.35,Mislabelled
t638341141,0.35,Mislabelled
t638341142,0.35,Mislabelled
t638341167,0.35,Mislabelled
t641380428,0.35,Mislabelled
t638341213,0.35,Mislabelled
t638341214,0.35,Mislabelled
t638341215,0.35,Mislabelled
t641380442,0.35,Mislabelled
t638341246,0.35,Mislabelled
t638341247,0.35,Mislabelled
t639633007,0.35,Mislabelled
t639633019,0.35,Mislabelled
t639633036,0.35,Mislabelled
t639633046,0.35,Mislabelled
t651324076,0.35,Mislabelled
t639857006,0.35,Mislabelled
t639857007,0.35,Mislabelled
t639857020,0.35,Mislabelled
t639857034,0.35,Mislabelled
t647000330,0.35,Mislabelled
t639857036,0.35,Mislabelled
t640069309,0.35,Mislabelled
t640427107,0.35,Mislabelled
t640427148,0.35,Mislabelled
t640427149,0.35,Mislabelled
t640427153,0.35,Mislabelled
t640612200,0.35,Mislabelled
t640612202,0.35,Mislabelled
t640612203,0.35,Mislabelled
t640753033,0.35,Mislabelled
t640753037,0.35,Mislabelled
t640753056,0.35,Mislabelled
t640963002,0.35,Mislabelled
t640963011,0.35,Mislabelled
t640963012,0.35,Mislabelled
t640963026,0.35,Mislabelled
t640963028,0.35,Mislabelled
t643348528,0.35,Mislabelled
t640963033,0.35,Mislabelled
t640963037,0.35,Mislabelled
t647533236,0.35,Mislabelled
t641228486,0.35,Mislabelled
t641380427,0.35,Mislabelled
t643692051,0.35,Mislabelled
t641380439,0.35,Mislabelled
t641380440,0.35,Mislabelled
t641380441,0.35,Mislabelled
t643886056,0.35,Mislabelled
t641380446,0.35,Mislabelled
t641380448,0.35,Mislabelled
t641522626,0.35,Mislabelled
t641522654,0.35,Mislabelled
t643886206,0.35,Mislabelled
t641736109,0.35,Mislabelled
t641736156,0.35,Mislabelled
t641736169,0.35,Mislabelled
t641736192,0.35,Mislabelled
t641736197,0.35,Mislabelled
t641736198,0.35,Mislabelled
t641736270,0.35,Mislabelled
t641736270,0.5,Mislabelled
t650716011,0.35,Mislabelled
t650716015,0.35,Mislabelled
t645058869,0.35,Mislabelled
t642555115,0.35,Mislabelled
t642555132,0.35,Mislabelled
t642555138,0.35,Mislabelled
t649633010,0.35,Mislabelled
t649633045,0.35,Mislabelled
t642791610,0.35,Mislabelled
t642791618,0.35,Mislabelled
t642791634,0.35,Mislabelled
t642979359,0.35,Mislabelled
t642979360,0.35,Mislabelled
t642979369,0.35,Mislabelled
t649989911,0.35,Mislabelled
t643348524,0.35,Mislabelled
t651053077,0.35,Mislabelled
t651285002,0.35,Mislabelled
t643348556,0.35,Mislabelled
t643348585,0.35,Mislabelled
t649989923,0.35,Mislabelled
t643692023,0.35,Mislabelled
t646311912,0.35,Mislabelled
t649989945,0.35,Mislabelled
t643886005,0.35,Mislabelled
t649989957,0.35,Mislabelled
t646564511,0.35,Mislabelled
t643886079,0.35,Mislabelled
t643886097,0.35,Mislabelled
t643886112,0.35,Mislabelled
t643886118,0.35,Mislabelled
t647533251,0.35,Mislabelled
t644736396,0.35,Mislabelled
t644736410,0.35,Mislabelled
t650377969,0.35,Mislabelled
t650377973,0.35,Mislabelled
t645058753,0.35,Mislabelled
t645058763,0.35,Mislabelled
t648276721,0.35,Mislabelled
t650716067,0.35,Mislabelled
t651324099,0.35,Mislabelled
t651324107,0.35,Mislabelled
t651324112,0.35,Mislabelled
t645058870,0.35,Mislabelled
t650716027,0.35,Mislabelled
t648861011,0.35,Mislabelled
t645951824,0.35,Mislabelled
t645951835,0.35,Mislabelled
t646206251,0.35,Mislabelled
t650716052,0.35,Mislabelled
t649633052,0.35,Mislabelled
t647000294,0.35,Mislabelled
t646564509,0.35,Mislabelled
t646206260,0.35,Mislabelled
t650716094,0.35,Mislabelled
t651053076,0.35,Mislabelled
t647533200,0.35,Mislabelled
t646564585,0.35,Mislabelled
t647533202,0.35,Mislabelled
t649989921,0.35,Mislabelled
t646311907,0.35,Mislabelled
t646311908,0.35,Mislabelled
t647533238,0.35,Mislabelled
t649989926,0.35,Mislabelled
t647533248,0.35,Mislabelled
t648276673,0.35,Mislabelled
t647533246,0.35,Mislabelled
t647533247,0.35,Mislabelled
t651324055,0.35,Mislabelled
t646564584,0.35,Mislabelled
t651324113,0.35,Mislabelled
t649990023,0.35,Mislabelled
t647000286,0.35,Mislabelled
t648028018,0.35,Mislabelled
t648276601,0.35,Mislabelled
t647000261,0.35,Mislabelled
t648276759,0.35,Mislabelled
t647533197,0.35,Mislabelled
t647533198,0.35,Mislabelled
t649633076,0.35,Mislabelled
t651324114,0.35,Mislabelled
t651324052,0.35,Mislabelled
t647533122,0.35,Mislabelled
t647533249,0.35,Mislabelled
t647533157,0.35,Mislabelled
t650716044,0.35,Mislabelled
t651324048,0.35,Mislabelled
t650716040,0.35,Mislabelled
t651324081,0.35,Mislabelled
t647533191,0.35,Mislabelled
t650716020,0.35,Mislabelled
t649989983,0.35,Mislabelled
t649989922,0.35,Mislabelled
t647533250,0.35,Mislabelled
t649989924,0.35,Mislabelled
t650377923,0.35,Mislabelled
t650716078,0.35,Mislabelled
t647533237,0.35,Mislabelled
t650716017,0.35,Mislabelled
t649989909,0.35,Mislabelled
t651324051,0.35,Mislabelled
t650377924,0.35,Mislabelled
t650377935,0.35,Mislabelled
t649990022,0.35,Mislabelled
t650716043,0.35,Mislabelled
t651324024,0.35,Mislabelled
t649633002,0.35,Mislabelled
t648276617,0.35,Mislabelled
t648861001,0.5,Corrections
t643348513,0.5,Corrections
t641736270,0.5,Corrections
t641522661,0.5,Corrections
t646311937,0.5,Corrections
t637000315,0.5,Corrections
t641736270,0.35,Corrections
t645058746,0.5,Corrections
t649989958,0.5,Corrections
t651324049,0.5,Corrections
t651324050,0.5,Corrections
t651324046,0.5,Corrections
t643348534,0.5,Corrections
t647533126,0.5,Corrections
t642555168,0.5,Corrections
t639857003,0.5,Corrections
t647000238,0.5,Corrections
t651324077,0.5,Corrections
t651324038,0.5,Corrections
t647533243,0.5,Corrections
t645058782,0.5,Corrections
t639857035,0.5,Corrections
t645058835,0.5,Corrections
t648861002,0.5,Corrections
t640963029,0.5,Corrections
t647533112,0.5,Corrections
t651324053,0.5,Corrections
t2500069000,0.35,Insertions
t2501416923,0.35,Insertions
t2501416924,0.35,Insertions
t2501416926,0.35,Insertions
t2501533205,0.35,Insertions
t2501915963,0.35,Insertions
t2501939620,0.35,Insertions
t2502422321,0.35,Insertions
t2502545039,0.35,Insertions
t2502790015,0.35,Insertions
t2503113005,0.35,Insertions
t2503198000,0.35,Insertions
t2503283010,0.35,Insertions
t2503386004,0.35,Insertions
t2503508007,0.35,Insertions
t2503508009,0.35,Insertions
t2503538010,0.35,Insertions
t2503538017,0.35,Insertions
t2503538034,0.35,Insertions
t2503692001,0.35,Insertions
t2503707007,0.35,Insertions
t2503754046,0.35,Insertions
t2503904012,0.35,Insertions
t2503982034,0.35,Insertions
t2503982039,0.35,Insertions
t2503982046,0.35,Insertions
t2504136000,0.35,Insertions
t2504136006,0.35,Insertions
t2504136008,0.35,Insertions
t2504136012,0.35,Insertions
t2504557006,0.35,Insertions
t2504557012,0.35,Insertions
t2504643006,0.35,Insertions
t2504643024,0.35,Insertions
t2504756004,0.35,Insertions
t2504756006,0.35,Insertions
t2504756018,0.35,Insertions
t2504756052,0.35,Insertions
t2504756058,0.35,Insertions
t2505119042,0.35,Insertions
t2505119043,0.35,Insertions
t2505313033,0.35,Insertions
t2505313034,0.35,Insertions
t2505313035,0.35,Insertions
t2505313036,0.35,Insertions
t2505313037,0.35,Insertions
t2505313038,0.35,Insertions
t2505313039,0.35,Insertions
t2505313066,0.35,Insertions
t2505313067,0.35,Insertions
t2505313068,0.35,Insertions
t2505313069,0.35,Insertions
t2505313070,0.35,Insertions
t2505313071,0.35,Insertions
t2505313072,0.35,Insertions
t2505679006,0.35,Insertions
t2505679007,0.35,Insertions
t2505679008,0.35,Insertions
t2505679009,0.35,Insertions
t2505679016,0.35,Insertions
t2505679018,0.35,Insertions
t2505679024,0.35,Insertions
t2505679030,0.35,Insertions
t2505679031,0.35,Insertions
t2505679034,0.35,Insertions
t2505679045,0.35,Insertions
t2505679068,0.35,Insertions
t2505679076,0.35,Insertions
t2505679077,0.35,Insertions
t2505679078,0.35,Insertions
t2505679080,0.35,Insertions
t2505679082,0.35,Insertions
t2506210002,0.35,Insertions
t2506210003,0.35,Insertions
t2506210005,0.35,Insertions
t2506381019,0.35,Insertions
t2506381020,0.35,Insertions
t2506381022,0.35,Insertions
t2506381023,0.35,Insertions
t2506381024,0.35,Insertions
t2506485001,0.35,Insertions
t2506520007,0.35,Insertions
t2506520013,0.35,Insertions
t2506520015,0.35,Insertions
t2506520016,0.35,Insertions
