ID,Phylum
t641736176,Spirochaetes
t2511231150,Spirochaetes
t646564513,Spirochaetes
t641736265,Spirochaetes
t641736177,Spirochaetes
t642791626,Spirochaetes
t642791611,Spirochaetes
t641736266,Spirochaetes
t642791629,Spirochaetes
t641736267,Spirochaetes
t637000036,Spirochaetes
t641736178,Spirochaetes
t642791625,Spirochaetes
t2511231103,Spirochaetes
t650377913,Spirochaetes
t650377914,Spirochaetes
t642791624,Spirochaetes
t642791627,Spirochaetes
t643348517,Spirochaetes
t643348518,Spirochaetes
t2511231194,Spirochaetes
t642979365,Spirochaetes
t643692009,Spirochaetes
t642791628,Spirochaetes
t642555108,Spirochaetes
t643348519,Spirochaetes
t642791612,Spirochaetes
t642555109,Spirochaetes
t641736181,Spirochaetes
t643692010,Spirochaetes
t2511231202,Spirochaetes
t646564514,Spirochaetes
t648028009,Spirochaetes
t2506783010,Spirochaetes
t642555136,Spirochaetes
t642555137,Spirochaetes
t639633032,Spirochaetes
t639633033,Spirochaetes
t637000150,Spirochaetes
t2511231167,Spirochaetes
t637000151,Spirochaetes
t2509276057,Spirochaetes
t2505679006,Spirochaetes
t2503904012,Spirochaetes
t648028052,Spirochaetes
t650377973,Spirochaetes
t2508501070,Spirochaetes
t648028053,Spirochaetes
t2506381022,Spirochaetes
t650716099,Spirochaetes
t2504756052,Spirochaetes
t650716100,Spirochaetes
t637000327,Spirochaetes
t646862348,Spirochaetes
t2511231191,Spirochaetes
t637000328,Spirochaetes
t642555166,Spirochaetes
t2511231217,Spirochaetes
t2511231215,Spirochaetes
t2511231132,Spirochaetes
t650716101,Spirochaetes
t649990026,Spirochaetes
t650716102,Spirochaetes
t2509276055,Spirochaetes
t2504557012,Spirochaetes
t645951869,Spirochaetes
t2506520013,Spirochaetes
t637000010,Aquificae
t649633039,Aquificae
t641380441,Aquificae
t650377953,Aquificae
t646311936,Aquificae
t2507262044,Aquificae
t647000261,Aquificae
t642555132,Aquificae
t643692030,Aquificae
t643692050,Aquificae
t642555165,Aquificae
t645058708,Aquificae
t646564582,Aquificae
t2511231037,Aquificae
t2512875013,Aquificae
t649633104,Aquificae
t649633005,Chloroflexi
t643348527,Chloroflexi
t641228485,Chloroflexi
t2506520040,Chloroflexi
t643692015,Chloroflexi
t637000089,Chloroflexi
t640427111,Chloroflexi
t637000090,Chloroflexi
t646564526,Chloroflexi
t646311919,Chloroflexi
t648028022,Chloroflexi
t2508501111,Chloroflexi
t641228494,Chloroflexi
t648276680,Chloroflexi
t649989977,Chloroflexi
t640753047,Chloroflexi
t640427139,Chloroflexi
t646311953,Chloroflexi
t646311962,Chloroflexi
t643348582,Chloroflexi
t642555104,Verrucomicrobia
t642791618,Verrucomicrobia
t646564524,Verrucomicrobia
t642555138,Verrucomicrobia
t2508501067,Verrucomicrobia
t640963002,Verrucomicrobia
t2510065049,Verrucomicrobia
t641522643,Verrucomicrobia
t645058870,Verrucomicrobia
t647533243,Verrucomicrobia
t641736179,Verrucomicrobia
t640753026,Thermotogae
t2507149014,Thermotogae
t644736379,Thermotogae
t647533182,Thermotogae
t2508501120,Thermotogae
t641228500,Thermotogae
t643348583,Thermotogae
t640753057,Thermotogae
t641228511,Thermotogae
t637000321,Thermotogae
t2506783065,Thermotogae
t646311964,Thermotogae
t643348584,Thermotogae
t640427150,Thermotogae
t642487181,Thermotogae
t2503508007,Thermotogae
t2510065086,Thermotogae
t648276752,Thermotogae
t641228474,Cyanobacteria
t646564504,Cyanobacteria
t642979357,Cyanobacteria
t2507262036,Cyanobacteria
t650377906,Cyanobacteria
t645951858,Cyanobacteria
t648276619,Cyanobacteria
t638341074,Cyanobacteria
t646311970,Cyanobacteria
t647533126,Cyanobacteria
t2507262054,Cyanobacteria
t641522622,Cyanobacteria
t640612201,Cyanobacteria
t643348533,Cyanobacteria
t643348534,Cyanobacteria
t648028021,Cyanobacteria
t643348535,Cyanobacteria
t644736348,Cyanobacteria
t647000233,Cyanobacteria
t2505679024,Cyanobacteria
t637000121,Cyanobacteria
t639857035,Cyanobacteria
t647533184,Cyanobacteria
t641522640,Cyanobacteria
t639857037,Cyanobacteria
t648028001,Cyanobacteria
t642555144,Cyanobacteria
t637000199,Cyanobacteria
t648276706,Cyanobacteria
t2510065010,Cyanobacteria
t640069321,Cyanobacteria
t641228501,Cyanobacteria
t640753041,Cyanobacteria
t640069322,Cyanobacteria
t640069323,Cyanobacteria
t637000210,Cyanobacteria
t637000211,Cyanobacteria
t640069324,Cyanobacteria
t647533199,Cyanobacteria
t640069325,Cyanobacteria
t637000212,Cyanobacteria
t637000213,Cyanobacteria
t637000214,Cyanobacteria
t637000309,Cyanobacteria
t637000310,Cyanobacteria
t637000311,Cyanobacteria
t640427149,Cyanobacteria
t637000314,Cyanobacteria
t647000303,Cyanobacteria
t637000307,Cyanobacteria
t637000308,Cyanobacteria
t639857006,Cyanobacteria
t649990022,Cyanobacteria
t649990023,Cyanobacteria
t637000312,Cyanobacteria
t637000313,Cyanobacteria
t641522654,Cyanobacteria
t647533236,Cyanobacteria
t640427148,Cyanobacteria
t639857007,Cyanobacteria
t638341213,Cyanobacteria
t2507262052,Cyanobacteria
t647533237,Cyanobacteria
t638341214,Cyanobacteria
t638341215,Cyanobacteria
t637000315,Cyanobacteria
t651053076,Cyanobacteria
t637000320,Cyanobacteria
t637000329,Cyanobacteria
t637000059,Chlamydiae
t637000062,Chlamydiae
t648276628,Chlamydiae
t645951815,Chlamydiae
t645951807,Chlamydiae
t637000063,Chlamydiae
t2511231082,Chlamydiae
t2511231138,Chlamydiae
t644736342,Chlamydiae
t644736343,Chlamydiae
t646862311,Chlamydiae
t646862312,Chlamydiae
t637000064,Chlamydiae
t645058724,Chlamydiae
t646862313,Chlamydiae
t2512564068,Chlamydiae
t646862314,Chlamydiae
t650377921,Chlamydiae
t646862315,Chlamydiae
t2512564063,Chlamydiae
t646862316,Chlamydiae
t2511231213,Chlamydiae
t646862317,Chlamydiae
t646862318,Chlamydiae
