ID,Fruit,Invertebrates,Nectar,Plants,Scavenging,Seeds,Meat (Ectotherms),Meat (Endotherms),Meat (Fish),Meat (Unknown)
Accipiter_cooperii,0,0,0,0,0,0,10,90,0,0
Accipiter_striatus,0,0,0,0,0,0,0,100,0,0
Accipiter_tachiro,0,10,0,0,0,0,20,70,0,0
Accipiter_trivirgatus,0,20,0,0,0,0,20,60,0,0
Aceros_corrugatus,90,10,0,0,0,0,0,0,0,0
Acinonyx_jubatus,0,0,0,0,0,0,0,100,0,0
Acrocephalus_arundinaceus,10,70,0,0,0,0,20,0,0,0
Acrocephalus_baeticatus,0,100,0,0,0,0,0,0,0,0
Actitis_hypoleucos,0,50,0,10,0,0,20,0,20,0
Actitis_macularia,0,80,0,0,0,0,0,0,20,0
Addax_nasomaculatus,0,0,0,100,0,0,0,0,0,0
Aegolius_acadicus,0,20,0,0,0,0,0,80,0,0
Aepyceros_melampus,0,0,0,100,0,0,0,0,0,0
Aethia_pygmaea,0,100,0,0,0,0,0,0,0,0
Agapornis_fischeri,20,0,0,0,0,80,0,0,0,0
Agelaius_phoeniceus,0,50,0,0,0,50,0,0,0,0
Ailuropoda_melanoleuca,0,0,0,90,0,0,0,10,0,0
Ailurus_fulgens,10,10,0,60,0,10,0,10,0,0
Aix_galericulata,0,20,0,30,0,40,0,0,10,0
Aix_sponsa,0,0,0,50,0,50,0,0,0,0
Alauda_arvensis,0,40,0,20,0,40,0,0,0,0
Alcelaphus_buselaphus,0,0,0,100,0,0,0,0,0,0
Alisterus_scapularis,30,0,10,30,0,30,0,0,0,0
Alouatta_caraya,40,0,0,60,0,0,0,0,0,0
Alouatta_palliata,40,0,0,60,0,0,0,0,0,0
Alouatta_pigra,40,0,0,60,0,0,0,0,0,0
Alouatta_seniculus,40,0,0,60,0,0,0,0,0,0
Amaurornis_akool,0,40,0,20,0,20,0,0,20,0
Amazilia_tzacatl,0,10,90,0,0,0,0,0,0,0
Amazonetta_brasiliensis,40,20,0,40,0,0,0,0,0,0
Amblycercus_holosericeus,0,100,0,0,0,0,0,0,0,0
Ammodramus_bairdii,0,50,0,0,0,50,0,0,0,0
Ammodramus_maritimus,0,100,0,0,0,0,0,0,0,0
Ammotragus_lervia,0,0,0,100,0,0,0,0,0,0
Anas_acuta,0,20,0,50,0,20,0,0,0,10
Anas_aucklandica,0,100,0,0,0,0,0,0,0,0
Anas_crecca,0,30,0,50,0,20,0,0,0,0
