ID,flight
Accipiter_cooperii,Flighted
Accipiter_striatus,Flighted
Accipiter_tachiro,Flighted
Accipiter_trivirgatus,Flighted
Aceros_corrugatus,Flighted
Acinonyx_jubatus,Flightless
Acrocephalus_arundinaceus,Flighted
Acrocephalus_baeticatus,Flighted
Actitis_hypoleucos,Flighted
Actitis_macularia,Flighted
Addax_nasomaculatus,Flightless
Aegolius_acadicus,Flighted
Aepyceros_melampus,Flightless
Aethia_pygmaea,Flighted
Agapornis_fischeri,Flighted
Agelaius_phoeniceus,Flighted
Ailuropoda_melanoleuca,Flightless
Ailurus_fulgens,Flightless
Aix_galericulata,Flighted
Aix_sponsa,Flighted
Alauda_arvensis,Flighted
Alcelaphus_buselaphus,Flightless
Aldabrachelys_gigantea,Flightless
Alisterus_scapularis,Flighted
Alligator_mississippiensis,Flightless
Alouatta_caraya,Flightless
Alouatta_palliata,Flightless
Alouatta_pigra,Flightless
Alouatta_seniculus,Flightless
Amaurornis_akool,Flighted
Amazilia_tzacatl,Flighted
Amazonetta_brasiliensis,Flighted
Amblycercus_holosericeus,Flighted
Ammodramus_bairdii,Flighted
Ammodramus_maritimus,Flighted
Ammotragus_lervia,Flightless
Anas_acuta,Flighted
Anas_aucklandica,Flightless
Anas_crecca,Flighted
Anas_discors,Flighted
Anas_flavirostris,Flighted
Anas_platyrhynchos,Flighted
Anas_rhynchotis,Flighted
Aneides_aeneus,Flightless
Anodorhynchus_hyacinthinus,Flighted
Anolis_allisoni,Flightless
Anolis_barbatus,Flightless
Anolis_smallwoodi,Flightless
Anous_stolidus,Flighted
Anser_caerulescens,Flighted
Anthornis_melanura,Flighted
Anthreptes_collaris,Flighted
Anthropoides_paradiseus,Flighted
Anthus_lineiventris,Flighted
Antidorcas_marsupialis,Flightless
Antilope_cervicapra,Flightless
Antrozous_dubiaquercus,Flighted
Aonyx_cinerea,Flightless
Aplonis_panayensis,Flighted
Apteryx_australis,Flightless
Apus_pacificus,Flighted
Aquila_heliaca,Flighted
Ara_ararauna,Flighted
Ara_chloropterus,Flighted
Aratinga_solstitialis,Flighted
Arctictis_binturong,Flightless
Arctocephalus_forsteri,Flightless
Arctocephalus_tropicalis,Flightless
Ardea_herodias,Flighted
Ardeotis_kori,Flighted
Arenaria_interpres,Flighted
Argusianus_argus,Flighted
Artamus_leucorhynchus,Flighted
Artibeus_glaucus,Flighted
Artibeus_intermedius,Flighted
Artibeus_jamaicensis,Flighted
Artibeus_lituratus,Flighted
Artibeus_phaeotis,Flighted
Aspidites_ramsayi,Flightless
Astrochelys_radiata,Flightless
Ateles_belzebuth,Flightless
Ateles_fusciceps,Flightless
Ateles_geoffroyi,Flightless
Ateles_hybridus,Flightless
Atelopus_varius,Flightless
Athene_cunicularia,Flighted
Axis_axis,Flightless
Axis_porcinus,Flightless
Aythya_fuligula,Flighted
Balaenoptera_borealis,Flightless
Baryphthengus_martii,Flighted
Basiliscus_plumifrons,Flightless
Batis_capensis,Flighted
Batrachostomus_auritus,Flighted
Bettongia_penicillata,Flightless
Bitis_arietans,Flightless
Boa_constrictor,Flightless
Bombycilla_garrulus,Flighted
Bonasa_umbellus,Flighted
Bos_indicus,Flightless
Bos_javanicus,Flightless
Bos_taurus,Flightless
Boselaphus_tragocamelus,Flightless
Bothriechis_schlegelii,Flightless
Branta_canadensis,Flighted
Bubo_lacteus,Flighted
Bubo_virginianus,Flighted
Bubulcus_ibis,Flighted
Bucephala_clangula,Flighted
Buceros_bicornis,Flighted
Bucorvus_abyssinicus,Flighted
Bucorvus_leadbeateri,Flighted
Budorcas_taxicolor,Flightless
Buteo_jamaicensis,Flighted
Buteo_lagopus,Flighted
Butorides_striata,Flighted
Butorides_virescens,Flighted
Cabassous_unicinctus,Flightless
Cacatua_galerita,Flighted
Cacatua_leadbeateri,Flighted
Cacatua_moluccensis,Flighted
Cacomantis_merulinus,Flighted
Cairina_moschata,Flighted
Calamonastes_simplex,Flighted
Calcarius_lapponicus,Flighted
Calcarius_ornatus,Flighted
Calidris_mauri,Flighted
Calidris_ptilocnemis,Flighted
Calidris_pugnax,Flighted
Calidris_pusilla,Flighted
Calidris_ruficollis,Flighted
Callimico_goeldii,Flightless
Callithrix_argentata,Flightless
Callithrix_geoffroyi,Flightless
Callonetta_leucophrys,Flighted
Callorhinus_ursinus,Flightless
Callosciurus_prevostii,Flightless
Calyptomena_viridis,Flighted
Camaroptera_brachyura,Flighted
Camaroptera_brevicaudata,Flighted
Camelus_dromedarius,Flightless
Canis_lupus,Flightless
Canis_mesomelas,Flightless
Capra_hircus,Flightless
Caprimulgus_macrurus,Flighted
Caprimulgus_pectoralis,Flighted
Caracal_caracal,Flightless
Caracara_cheriway,Flighted
Cardinalis_cardinalis,Flighted
Cariama_cristata,Flighted
Carollia_brevicauda,Flighted
Carollia_castanea,Flighted
Carollia_perspicillata,Flighted
Carollia_sowelli,Flighted
Casuarius_casuarius,Flightless
Cathartes_aura,Flighted
Catharus_ustulatus,Flighted
Centrochelys_sulcata,Flightless
Centropus_senegalensis,Flighted
