,r,p
node42,0.014781426712449457,0.948
node47,-0.038694550470678137,0.794
node39,-0.008530754386660216,0.943
node56,0.25459319057026486,0.003
node66,0.22196501165678204,0.24
node73,0.10607319579301315,0.709
node88,0.3294962721574754,0.006
node102,0.17026959531294325,0.032
node133,0.5060338323513084,0.087
node127,0.4379087170254336,0.089
node136,0.3133710715638855,0.001
node126,0.2758269164472038,0.001
node142,0.29603197199554854,0.001
node150,0.30478833071180766,0.001
node139,0.2327450425352855,0.001
node121,0.24330841166770198,0.161
node228,0.09349985793127548,0.584
node227,0.18557972284955906,0.195
node224,0.15346470406868032,0.295
node243,-0.12796541920765522,0.397
node271,-0.20396246823807582,0.398
node313,-0.2932357109238924,0.181
node317,-0.142659665735984,0.413
node316,0.05270733562220141,0.684
node312,0.09020750121542788,0.385
node325,0.012578047754839023,0.88
node324,0.15605784438377013,0.109
node323,0.08590363228404212,0.409
node321,0.1289965640830772,0.235
node311,0.18711835560702608,0.005
node358,0.32836701964475135,0.031
node369,0.377337699907224,0.018
node399,0.08583558078418768,0.736
node397,-0.09304017124410215,0.69
node415,-0.01882665666120629,0.918
node414,0.10278112065661339,0.422
node413,0.06500225303256188,0.554
node412,0.09176100611352304,0.381
node429,0.13255550544826766,0.462
node436,0.0702609225106595,0.246
node373,0.12607958111509604,0.76
node291,0.12863849299763871,0.511
node461,0.06947550008177078,0.511
node471,0.03335218477464138,0.377
node454,0.016985094542291208,0.958
node453,0.0473299674084292,0.794
node451,-0.01664412679795722,0.917
node492,0.08536885813514158,0.469
node506,0.0023639936942237106,0.983
node539,0.16396054760902828,0.269
node538,0.24283866573432253,0.148
node534,0.3273640497429279,0.001
node533,0.13257186468659968,0.001
node597,-0.07203853790390322,0.719
node596,-0.17084008498130557,0.322
node582,0.16504117375612837,0.33
node610,0.12594905803186626,0.39
node608,0.16657789020472058,0.212
node635,0.1687990072943009,0.415
node639,0.5603497968242078,0.013
node629,0.24625841444927163,0.052
node605,0.11335132725168472,0.079
node651,0.16595496037533486,0.026
node669,0.060971369811535885,0.807
node666,-0.1719456018390196,0.561
node728,0.14331109980833281,0.527
node757,0.06817688079531099,0.691
node749,0.0788767067207082,0.299
node748,0.10090166009990788,0.188
node764,0.33390120124427236,0.072
node775,0.19367191874839002,0.001
node780,0.24372480567063343,0.001
node804,0.6511264482090188,0.015
node802,0.3448083205163814,0.006
node813,0.058089723205477055,0.269
node828,0.08524359157365216,0.089
node818,0.04269391221219032,0.364
node857,0.19319232754069912,0.407
node855,0.24386022967728607,0.191
node837,0.011764059539346625,0.891
node915,0.2721350076026073,0.27
node918,0.0399629211031696,0.838
node933,0.07438870689802224,0.643
node940,0.20454264907537886,0.208
node997,0.0003727202625521628,0.998
node959,0.14240697123431312,0.248
node957,0.08534267084005093,0.096
node955,0.11967370826522866,0.039
node1031,-0.14981312022493695,0.467
node1030,0.060490552107212214,0.754
node1037,0.0697810766311603,0.712
node1029,0.3078120533695885,0.044
node1028,0.20415883228273884,0.001
node1043,0.15535814645296084,0.001
node1019,0.12420892043492292,0.003
node1051,0.10502104268335136,0.015
node1056,0.13250717622857522,0.001
node1050,0.06344154337697706,0.024
node1049,0.02274980096091654,0.903
node1087,0.06602780899424658,0.56
node1118,0.03727006763366962,0.907
node1116,0.001863883678418742,0.978
node1046,0.08015753943262238,0.296
node1018,0.05249951905180452,0.505
node1000,0.06322074398142233,0.012
node954,0.056506157279887836,0.066
node1125,0.05291174511342933,0.124
node1132,0.038589726888550675,0.26
node1130,0.14262724228987622,0.001
node1163,0.6070244442393758,0.014
node1191,0.2640468892646482,0.179
node1190,0.23366318682340806,0.047
node1180,0.22635460976705504,0.009
