Name in Fastas,Genome,S3 Gene?,GeneID/Accession,Data Source,Genome Type,Sequencing,Assembler,MetaType,PhyloKingdom,PhyloPhylum,PhyloClass,PhyloOrder,PhyloFamily,PhyloGenus,IMGAccession,NCBIAccession,BioSample,BioProject,Sample Location,Country,Latitude,Longitude,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Treatment,Genome Size,Scaffolds,Genes,GC%,16S rRNA sequences,CRISPRs,Citation/ContactName,ClosestIsolateRef,IsolateRefAlignLength,IsolateRefPercID,IsolateRefEvalue,IsolateRefBitscore,ClosestGenomeRef,GenomeRefAlignLength,GenomeRefPercID,GenomeRefEvalue,GenomeRefBitscore,Outgroup
OYT66495=ANME1_cluster_archaeon_ex4572_4,ANME-1 cluster archaeon ex4572_4,Yes,OYT66495.1,NCBI,MAG,Illumina HiSeq 2500,IDBA v. v1.0.9,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,ANME-1,ANME-1,Unknown,NA,NJEM00000000,SAMN06647984,PRJNA362212,Guayamas Basin,USA,27.01,-111.42,Aquatic,Oceanic,Marine,Natural Seep,Hydrothermal vent sediment,Native,1.02,95,1104,53.20,NA,NA,Dombrowski 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PXF50457=ANME1_cluster_archaeon_G37ANME1,ANME-1 cluster archaeon G37ANME1,Yes,PXF50457.1,NCBI,MAG,Illumina MiSeq,SPAdes v3.5.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,ANME-1,ANME-1,Unknown,NA,PQXB00000000,SAMN08434975,PRJNA418316,Guayamas Basin,USA,27.100437,-111.124548,Aquatic,Oceanic,Marine,Natural Seep,Hydrothermal vent sediment,Enrichment,1.40,5,1401,52.10,1,NA,Krukenberg 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PXF50759=ANME1_cluster_archaeon_G60ANME1,ANME-1 cluster archaeon G60ANME1,Yes,PXF50759.1,NCBI,MAG,Illumina MiSeq,SPAdes v3.5.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,ANME-1,ANME-1,Unknown,NA,PQXC00000000,SAMN08434988,PRJNA418316,Guayamas Basin,USA,27.100437,-111.124548,Aquatic,Oceanic,Marine,Natural Seep,Hydrothermal vent sediment,Enrichment,1.81,38,1877,45.60,1,1,Krukenberg 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBH36869=uncultured_archaeon,uncultured archaeon ANME-1,Yes,CBH36869.1,NCBI,MAG,ABI3730XL capillary systems,Phrap; version 0.990329,Fosmid,Archaea,Euryarchaetoa,Methanomicrobia,ANME-1,ANME-1,Unknown,NA,FP565147,Unknown,PRJEA28883,North-Western Crimean Black Sea,Black Sea,44.767,31.3167,Aquatic,Oceanic,Marine,Natural Seep,Methane seep microbial mat,Native,2.95,30,3578,43.00,1,NA,Meyerdierks 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PXF61429=ANME2_cluster_archaeon_E20ANME2,ANME-2 cluster archaeon E20ANME2 ,Yes,PXF61429.1,NCBI,MAG,Illumina MiSeq,SPAdes v3.5.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,ANME-2,Unknown,NA,PQXF00000000,SAMN08435051,PRJNA418316,Guayamas Basin,USA,27.100437,-111.124548,Aquatic,Oceanic,Marine,Natural Seep,Hydrothermal vent sediment,Enrichment,3.61,169,3576,47.40,1,3,Krukenberg 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPA80050=ANME2_cluster_archaeon_HR1,ANME-2 cluster archaeon HR1,Yes,PPA80050.1,NCBI,MAG,Illumina HiSeq 2000,CLC genomics workbench 6.0,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,ANME-2,Unknown,NA,MZXQ00000000,SAMN06562579,PRJNA290197,Hydrate Ridge North,Pacific Ocean,44.6694,-125.0982,Aquatic,Oceanic,Marine,Marine Sediment,Marine sediment core near active seepage,Native,2.20,335,201,38.50,NA,NA,Skennerton 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2505381424=ANME2D,Methanosarcinales ANME-2d,Yes,2505381424,IMG,MAG,Illumina,SaSSY,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,ANME-2,Unknown,2505313014,Unknown,Unknown,Unknown,Brisbane,Australia,-27.47,153.02,Wastewater,Unknown,Unknown,Wastewater,Wastewater,Enrichment,3.49,282,4007,43.00,1,9,Fauzi Haroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2566123384=ANME2a2_Scaffold2.2,Methanosarcinales sp. ANME-2a,Yes,2566123384,IMG,SAG,Illumina GAIIx,SOAPdenovo 1.05 s,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,ANME-2,Unknown,2565956544,NA,SAMN02361044,PRJNA219628,Captain Aryutunov Mud Volcano,Atlantic Ocean,35.6583,-7.3333,Aquatic,Oceanic,Marine,Natural Seep,Mud volcano sediment bioreactor,Enrichment,3.64,575,4071,43.00,1,1,Wang 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKL54420=Candidatus_Methanoperedenaceae_archaeon_HGW_Methanoperedenaceae_1,Candidatus Methanoperedenaceae archaeon HGW Methanoperedenaceae 1,Yes,PKL54420.1,NCBI,MAG,Illumina HiSeq 2000,IDBA-UD v. 03.2016,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,PGYG00000000,SAMN06767741,PRJNA321556,Horonobe Underground Research Center,Japan,45.045278,141.8594,Aquatic,Aquifer,Freshwater,Ground Water,Subsurface ground water,Native,2.00,128,2248,43.10,1,4,Hernsdorf 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWB52573=Candidatus_Methanoperedens_ferrireducens_FeB_1,Candidatus Methanoperedens ferrireducens FeB_1 FeB1_42,Yes,PWB52573.1,NCBI,MAG,Illumina NextSeq500,CLC Genomics Workbench v. 7.5,MetaG,Archaea,Euryarchaetoa,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA,PQAS00000000,SAMN08364719,PRJNA378332,Gold Creek Reservoir,Australia,-27.500186,153.013529,Aquatic,River,Freshwater,River Sediment,River sediment bioreactor,Enrichment,2.91,59,2990,40.80,1,NA,Cai 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
